type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,año_agregado
Movie,Rattlesnake,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt, Debrianna Mansini, Bruce Davis",United States,2019-10-25,2019,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers",2019.0
Movie,The Awakening of Motti Wolkenbruch,Michael Steiner,"Inge Maux, Noémie Schmidt, Joel Basman, Sunnyi Melles, Udo Samel, Rachel Braunschweig, Oriana Schrage, Meytal Gal",Switzerland,2019-10-25,2018,TV-MA,94 min,"Comedies, Dramas, International Movies",2019.0
TV Show,The Untamed,Desconocido,"Sean Xiao, Wang Yibo, Zoey Meng, Xuan Lu, Yu Bin, Wang Zhuocheng, Liu Haikuan, Zhu Zanjin, Wang Haoxuan, Ji Li",China,2019-10-25,2019,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries",2019.0
TV Show,Daybreak,Desconocido,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick",United States,2019-10-24,2019,TV-MA,1 Season,"TV Action & Adventure, TV Comedies, TV Horror",2019.0
Movie,Echo in the Canyon,Andrew Slater,"Jakob Dylan, Ringo Starr, Michelle Phillips, Stephen Stills, Regina Spektor, Beck, Eric Clapton, Tom Petty, Jackson Browne, Norah Jones",United States,2019-10-24,2019,PG-13,82 min,"Documentaries, Music & Musicals",2019.0
Movie,Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su","Singapore, Malaysia",2019-10-24,2019,TV-14,92 min,"Horror Movies, International Movies",2019.0
TV Show,"Breakfast, Lunch & Dinner",Desconocido,"David Chang, Seth Rogen, Chrissy Teigen, Lena Waithe, Kate McKinnon",United States,2019-10-23,2019,TV-MA,1 Season,Docuseries,2019.0
Movie,Dancing with the Birds,Huw Cordey,Stephen Fry,United States,2019-10-23,2019,TV-PG,52 min,Documentaries,2019.0
Movie,Master Z: The Ip Man Legacy,Yuen Woo-ping,"Zhang Jin, Dave Bautista, Michelle Yeoh, Tony Jaa, Liu Yan, Kevin Cheng, Chrissie Chow, Xing Yu","Hong Kong, China",2019-10-23,2018,TV-14,108 min,"Action & Adventure, International Movies",2019.0
Movie,Jenny Slate: Stage Fright,Gillian Robespierre,Jenny Slate,United States,2019-10-22,2019,TV-MA,67 min,"Documentaries, Stand-Up Comedy",2019.0
Movie,Free Fire,Ben Wheatley,"Sharlto Copley, Armie Hammer, Brie Larson, Cillian Murphy, Jack Reynor, Babou Ceesay, Enzo Cilenti, Sam Riley, Michael Smiley, Noah Taylor, Patrick Bergin, Mark Monero",United Kingdom,2019-10-21,2016,R,91 min,"Action & Adventure, Comedies, Independent Movies",2019.0
Movie,Little Singham: Kaal Ki Tabaahi,Prakash Satam,Sin reparto,,2019-10-19,2019,TV-Y7,66 min,"Children & Family Movies, Comedies",2019.0
Movie,The Command,Thomas Vinterberg,"Matthias Schoenaerts, Léa Seydoux, Colin Firth, Peter Simonischek, August Diehl, Max von Sydow, Bjarne Henriksen, Magnus Millang, Artemiy Spiridonov","France, Belgium, Luxembourg, Romania, Canada, United States",2019-10-19,2018,PG-13,118 min,"Dramas, International Movies, Thrillers",2019.0
Movie,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",2019-10-18,2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies",2019.0
TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",Desconocido,Sin reparto,,2019-10-18,2019,TV-Y,1 Season,Kids' TV,2019.0
Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),Desconocido,Sin reparto,,2019-10-18,2019,TV-Y,47 min,Children & Family Movies,2019.0
Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),Desconocido,Sin reparto,,2019-10-18,2019,TV-Y,56 min,Children & Family Movies,2019.0
Movie,ChuChuTV Surprise Eggs Learning Videos (English),Desconocido,Sin reparto,,2019-10-18,2019,TV-Y,61 min,Children & Family Movies,2019.0
Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),Desconocido,Sin reparto,,2019-10-18,2019,TV-Y,34 min,Children & Family Movies,2019.0
Movie,Eli,Ciarán Foy,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",United States,2019-10-18,2019,TV-MA,98 min,Horror Movies,2019.0
Movie,In My Country,Frank Rajah Arase,"Sam Dede, Bimbo Manuel, Okawa Shaznay, Shan George, Austin Enabulele, Precious Udoh",,2019-10-18,2018,TV-MA,99 min,"Dramas, International Movies",2019.0
TV Show,Interior Design Masters,Desconocido,Sin reparto,United Kingdom,2019-10-18,2019,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV",2019.0
TV Show,Little Baby Bum: Nursery Rhyme Friends,Desconocido,"Chloe Marsden, Aaron Marsden, María Esnoz",United Kingdom,2019-10-18,2019,TV-Y,2 Seasons,"British TV Shows, Kids' TV",2019.0
Movie,"Love, Surreal and Odd",Yılmaz Erdoğan,"Aylin Kontante, Bülent Emrah Parlak, Büşra Pekin, Çağlar Çorumlu, Fatih Artman, Gupse Özay, Serkan Keskin, Şebnem Bozoklu",Turkey,2019-10-18,2017,TV-14,95 min,"Comedies, International Movies, Romantic Movies",2019.0
TV Show,Mighty Little Bheem: Diwali,Desconocido,"Samriddhi Shukla, Nishka Raheja, Arannya Kaur, Shanoor Mirza, Rajesh Kava",India,2019-10-18,2019,TV-Y,1 Season,"Kids' TV, TV Comedies",2019.0
TV Show,MONKART,Desconocido,"Kim Jae-ha, Kwon Ji-hye, Lee Bo-hee, Um Sang-hyun, Jung Yoon-jung, Kim Bo-min, Hong So-young, Hong Bum-ki, Ahn Jang-hyuk",,2019-10-18,2017,TV-Y7,1 Season,"Kids' TV, Korean TV Shows",2019.0
Movie,Seventeen,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana, Chani Martín, Iñigo Aranburu, Kandido Uranga, Javier Cifrián, Mamen Duch, Carolina Clemente, Jorge Cabrera, Daniel Fuster, Edgar Costas, Patxi Santamaría",Spain,2019-10-18,2019,TV-MA,100 min,"Comedies, Dramas, International Movies",2019.0
TV Show,Spirit Riding Free: Pony Tales,Desconocido,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Gabriella Graves, Duncan Joiner, Nolan North",United States,2019-10-18,2019,TV-Y7,2 Seasons,Kids' TV,2019.0
Movie,Tatu,Don Omope,"Rahama Sadau, Sambasa Nzeribe, Segun Arinze, Gabriel Afolayan, Desmond Elliot, Funlola Aofiyebi, Toyin Aimakhu, Stephen Demian, Afeez Oyetoro, Oludara Egerton Shyngle",Nigeria,2019-10-18,2017,TV-MA,101 min,"Action & Adventure, Dramas, International Movies",2019.0
Movie,Tell Me Who I Am,Ed Perkins,Sin reparto,United Kingdom,2019-10-18,2019,TV-MA,86 min,Documentaries,2019.0
Movie,The Laundromat,Steven Soderbergh,"Meryl Streep, Gary Oldman, Antonio Banderas, Sharon Stone, James Cromwell, Jeffrey Wright, Melissa Rauch, Jeff Michalski, Jane Morris, Robert Patrick, David Schwimmer",United States,2019-10-18,2019,R,96 min,"Comedies, Dramas",2019.0
TV Show,Toon,Desconocido,"Joep Vermolen, Amy van der Weerden, Loulou Hameleers, Robbert Bleij",Netherlands,2019-10-18,2017,TV-MA,2 Seasons,"International TV Shows, TV Comedies",2019.0
Movie,Up North,Tope Oshin,"Banky Wellington, Rahama Sadau, Kanayo O. Kanayo, Ibrahim Suleiman, Michelle Dede, Adesua Etomi, Hilda Dokubo, Akin Lewis",Nigeria,2019-10-18,2018,TV-14,99 min,"Dramas, International Movies",2019.0
Movie,Upstarts,Udai Singh Pawar,"Priyanshu Painyuli, Chandrachoor Rai, Shadab Kamal, Rajeev Siddhartha, Sheetal Thakur, Ninad Kamat, Swati Semwal, Eijaz Khan",India,2019-10-18,2019,TV-14,112 min,"Comedies, Dramas, International Movies",2019.0
Movie,Verses of Love 2,Guntur Soeharjanto,"Fedi Nuril, Tatjana Saphira, Dewi Sandra, Chelsea Islan, Nur Fazura, Pandji Pragiwaksono, Arie Untung, Bront Palarae, Dewi Irawan",Indonesia,2019-10-18,2017,TV-14,127 min,"Dramas, Faith & Spirituality, International Movies",2019.0
TV Show,Chosen,Desconocido,"Lan Cheng-Lung, Deng JiaJia, Han Pengyi, Sam Hayden-Smith, Jenny Zhou, Paul He, Nathaniel Kelly",China,2019-10-17,2019,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",2019.0
TV Show,THE UNLISTED,Desconocido,"Vrund Rao, Ved Rao, Abigail Adriano, Miah Madden, Jean Hinchliffe, Nya Cofie, Saba Zaidi Abdi, Nicholas Brown, Virginie Laverdure, Avishma Lohith, Zenia Starr, Suzi Dougherty, Aria Ferris, Danny Kim, Annabel Wolfe",Australia,2019-10-17,2019,TV-PG,1 Season,"Kids' TV, TV Thrillers",2019.0
TV Show,Another Miss Oh,Desconocido,"Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo",South Korea,2019-10-16,2016,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019.0
Movie,Ghosts of Sugar Land,Bassam Tariq,Sin reparto,United States,2019-10-16,2019,TV-MA,22 min,Documentaries,2019.0
Movie,League of Legends Origins,Leslie Iwerks,Sin reparto,United States,2019-10-16,2019,TV-MA,78 min,Documentaries,2019.0
Movie,Park Na-rae: Glamour Warning,Kim Joo-hyung,Park Na-rae,South Korea,2019-10-16,2019,TV-MA,63 min,Stand-Up Comedy,2019.0
TV Show,Second 20s,Desconocido,"Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae, Son Na-eun, Jung Soo-young, Choi Yoon-so, Park Hyo-ju",South Korea,2019-10-16,2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019.0
Movie,Sinister 2,Ciarán Foy,"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco","United States, United Kingdom",2019-10-16,2015,R,97 min,Horror Movies,2019.0
Movie,The Game Changers,Louie Psihoyos,"Arnold Schwarzenegger, Lewis Hamilton, James Wilks, Patrik Baboumian, Scott Jurek, Nimai Delgado, Morgan Mitchell, Rip Esselstyn, Dotsie Bausch, Damien Mander, Michael Thomas, Dr. Dean Ornish, David Goldman",United States,2019-10-16,2018,TV-MA,86 min,"Documentaries, Sports Movies",2019.0
TV Show,Black Money Love,Ahmet Katıksız,"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,2019-10-15,2014,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2019.0
Movie,"Martin Matte: La vie, la mort...eh la la..!",Jean-François Blais,Martin Matte,Canada,2019-10-14,2019,TV-14,62 min,Stand-Up Comedy,2019.0
Movie,Street Flow,"Leïla Sy, Kery James","Kery James, Jammeh Diangana, Chloé Jouannet, Bakary Diombera",France,2019-10-13,2019,TV-MA,96 min,"Dramas, International Movies",2019.0
TV Show,The Lies Within,Desconocido,"Lee Min-ki, Lee Yoo-young, On Ju-wan, Lee Jun-hyeok, Yun Jong-seok, Kim Jong-soo, Seo Hyun-woo, Song Young-chang, Lee Jun-hyuk",South Korea,2019-10-13,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",2019.0
Movie,Bygones Be Bygones,Hakan Algül,"Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Renan Bilek, Seda Güven, Toprak Sergen, Ali Yoğurtçuoğlu, Bedir Bedir, Gümeç Alpay Aslan",Turkey,2019-10-11,2017,TV-MA,104 min,"Comedies, International Movies, Romantic Movies",2019.0
Movie,El Camino: A Breaking Bad Movie,Vince Gilligan,Aaron Paul,United States,2019-10-11,2019,TV-MA,123 min,"Dramas, Thrillers",2019.0
Movie,Fractured,Brad Anderson,"Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean",United States,2019-10-11,2019,TV-MA,100 min,Thrillers,2019.0
TV Show,Insatiable,Desconocido,"Dallas Roberts, Debby Ryan, Alyssa Milano, Christopher Gorham, Kimmy Shields, Michael Provost, Erinn Westbrook, Daniel Kang, Arden Myrin",United States,2019-10-11,2019,TV-MA,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",2019.0
Movie,The Bling Lagosians,Bolanle Austen-Peters,"Gbenga Titiloye, Elvina Ibru, Sharon Ooja, Osas Ighodaro Ajibade, Monalisa Chinda, Toyin Abraham, Bisola Aiyeola, Oladele Ogunlana, Jimmy Odukoya, Alex Ekubo",Nigeria,2019-10-11,2019,TV-14,99 min,"Dramas, International Movies",2019.0
Movie,The Forest of Love,Sion Sono,"Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden",Japan,2019-10-11,2019,TV-MA,151 min,"Dramas, International Movies, Thrillers",2019.0
TV Show,The Hook Up Plan,Desconocido,"Marc Ruchmann, Zita Hanrot, Sabrina Ouazani, Joséphine Drai, Syrus Shahidi, Yvan Naubron, Guillaume Labbé, Tom Dingler",France,2019-10-11,2020,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",2019.0
Movie,The Influence,Dennis Rovira van Boekholt,"Manuela Vellés, Maggie Civantos, Alain Hernández, Claudia Placer, Daniela Rubio, Emma Suárez, Ramón Esquinas, Felipe García Vélez, Mariana Cordero","Spain, France",2019-10-11,2019,TV-MA,102 min,"Horror Movies, International Movies",2019.0
TV Show,Beyblade Burst Turbo,Desconocido,"Laura Stahl, Billy Kametz, Derek Stephen Prince, Kyle McCarley, Brandon Winckler, Kimlinh Tran",,2019-10-10,2018,TV-Y7,1 Season,"Anime Series, Kids' TV",2019.0
Movie,GEN HOSHINO STADIUM TOUR “POP VIRUS”,Naoto Amazutsumi,Gen Hoshino,,2019-10-10,2019,TV-14,154 min,"International Movies, Music & Musicals",2019.0
TV Show,Ultramarine Magmell,Desconocido,"Kengo Kawanishi, M・A・O, Toshiyuki Morikawa, Hibiku Yamamura, Satoshi Mikami, Koji Yusa, Hiroshi Yanaka, Shiro Saito, Keiichi Sonobe",Japan,2019-10-10,2019,TV-14,1 Season,"Anime Series, International TV Shows",2019.0
Movie,After,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,2019-10-09,2019,PG-13,106 min,"Dramas, Romantic Movies",2019.0
Movie,Home Is Where the Killer Is,Kaila York,"Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry",United States,2019-10-09,2019,TV-14,87 min,"Dramas, Thrillers",2019.0
TV Show,Rhythm + Flow,Desconocido,"Cardi B, Chance The Rapper, T.I.",United States,2019-10-09,2019,TV-MA,1 Season,Reality TV,2019.0
Movie,Deon Cole: Cole Hearted,Ryan Polito,Deon Cole,United States,2019-10-08,2019,TV-MA,70 min,Stand-Up Comedy,2019.0
Movie,The Spooky Tale of Captain Underpants Hack-a-ween,Desconocido,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren",United States,2019-10-08,2019,TV-Y7,46 min,"Children & Family Movies, Comedies",2019.0
Movie,Love for Sale,Andibachtiar Yusuf,"Gading Marten, Della Dartyan, Rukman Rosadi, Albert Halim, Verdi Solaiman, Adriano Qalbi, Sabrina Rochelle Kalangie, Rizky Mocil",Indonesia,2019-10-06,2018,TV-14,101 min,"Dramas, International Movies, Romantic Movies",2019.0
TV Show,Legend Quest: Masters of Myth,Desconocido,"Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda, Chuck Morgan, Jenna Lamia, James Carrey",Mexico,2019-10-05,2019,TV-Y7,1 Season,"Kids' TV, Spanish-Language TV Shows",2019.0
TV Show,My Country: The New Age,Desconocido,"Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang",South Korea,2019-10-05,2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",2019.0
Movie,Noblemen,Vandana Kataria,"Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues",India,2019-10-05,2019,TV-MA,109 min,"Dramas, Independent Movies, International Movies",2019.0
Movie,A Plastic Ocean,Desconocido,Tanya Streeter,"United Kingdom, Hong Kong",2019-10-04,2016,TV-14,100 min,Documentaries,2019.0
Movie,Brother in Love,Onur Bilgetay,"Cem Gelinoğlu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Başar, Ali Erkazan, Özlem Çakar, Selen Domaç, Ferdi Sancar, Güven Hokna",Turkey,2019-10-04,2019,TV-MA,110 min,"Comedies, International Movies, Romantic Movies",2019.0
TV Show,Creeped Out,Desconocido,"Victoria Diamond, William Romain, Sydney Wade, Jennifer James, Daniel Ryan, Robert Styles, Rhys Gannon, Maeve Larkin, Margaret Jackman, Katie Proctor, Jonathan Blake, Maximus Evans, Anya Lawrence, Tiffany Elefano, Diya Kittur, Berkley Silverman, Malen Clarkson, Jason Done, Rosina Carbone, Boris Burnell Anderson, Macey Howarth, Rebecca Hanssen, William Haresceugh, Chris Jack, Zita Sattar, Acushla-Tara Kupe, Tillie Amartey, Isabella Pinto, Bella Band, Lola Ogunyemi, Elizabeth Bower, Gianluca Gallucci, Jacob Henshaw, Amelia Curtis, Romy Weltman, Justin Paul Kelly, Jordan Poole, Thamela Mpumlwana, Jake Sim, Leah Choudhry, Daniel Ogbeide-John, Emma Gregory, Rachel Leskovac, Andonis Anthony, Kyle Breitkopf, Julian Richings, Kathryn Emily Douglas","United Kingdom, Canada",2019-10-04,2019,TV-PG,2 Seasons,"British TV Shows, Kids' TV, TV Thrillers",2019.0
Movie,In the Tall Grass,Vincenzo Natali,"Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.","Canada, United States",2019-10-04,2019,TV-MA,102 min,"Horror Movies, Thrillers",2019.0
Movie,Kids on the Block,Tugçe Soysop,"Selim Bayraktar, Berat Efe Parlar, Esat Polat Güler, Eda Döğer, Dora Dalgıç, Taha Sönmezisik, Zeynep Ilgin Çelik, Arda Taşarcan, Alperen Efe Esmer, İlknur Külahlıoglu, İkra Külahlıoğlu",Turkey,2019-10-04,2019,TV-PG,102 min,"Children & Family Movies, Comedies",2019.0
TV Show,Peaky Blinders,Desconocido,"Cillian Murphy, Sam Neill, Helen McCrory, Paul Anderson, Iddo Goldberg, Annabelle Wallis, Sophie Rundle, Tom Hardy, Joe Cole, Ned Dennehy, Andy Nyman, Charlie Creed-Miles, Charlotte Riley, David Dawson, Jeffrey Postlethwaite, Matthew Postlethwaite, Ian Peck, Tony Pitts, Aidan Gillen, Adrien Brody, Charlie Murphy, Aimee-Ffion Edwards",United Kingdom,2019-10-04,2019,TV-MA,5 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",2019.0
TV Show,Raising Dion,Desconocido,"Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney",United States,2019-10-04,2019,TV-PG,1 Season,"Kids' TV, TV Action & Adventure, TV Dramas",2019.0
TV Show,Rotten,Desconocido,Sin reparto,United States,2019-10-04,2019,TV-MA,2 Seasons,"Docuseries, Science & Nature TV",2019.0
TV Show,Super Monsters,Desconocido,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,2019-10-04,2019,TV-Y,3 Seasons,Kids' TV,2019.0
Movie,Super Monsters: Vida's First Halloween,"Jacob Joice, Steve Ball","Gigi Saul Guerrero, Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr",United States,2019-10-04,2019,TV-Y,24 min,Children & Family Movies,2019.0
TV Show,Seis Manos,Desconocido,"Aislinn Derbez, Mike Colter, Jonny Cruz, Angélica Vale, Vic Chao, Danny Trejo",United States,2019-10-03,2019,TV-MA,1 Season,"Anime Series, Crime TV Shows",2019.0
TV Show,Living Undocumented,Desconocido,Sin reparto,United States,2019-10-02,2019,TV-MA,1 Season,Docuseries,2019.0
Movie,Ready to Mingle,Luis Javier Henaine,"Cassandra Ciangherotti, Gabriela de la Garza, Irán Castillo, Sophie Alexander-Katz, Flor Eduarda Gurrola, Mariana Cabrera, Juan Pablo Medina, Pablo Cruz Guerrero, Diana Bovio, Andrés Almeida",Mexico,2019-10-02,2019,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",2019.0
Movie,Salam - The First ****** Nobel Laureate,Anand Kamalakar,Sin reparto,United States,2019-10-02,2018,TV-PG,76 min,Documentaries,2019.0
TV Show,Cheese in the Trap,Lee Yoon-jung,"Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang",South Korea,2019-10-01,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019.0
TV Show,Chicago Typewriter,Desconocido,"Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin",South Korea,2019-10-01,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019.0
TV Show,College Romance,Desconocido,"Manjot Singh, Apoorva Arora, Keshav Sadhna, Shreya Mehta, Hira Ashar, Gagan Arora",India,2019-10-01,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2019.0
TV Show,Engineering Girls,Desconocido,"Barkha Singh, Kritika Avasthi, Sejal Kumar",India,2019-10-01,2018,TV-MA,1 Season,"International TV Shows, TV Comedies",2019.0
Movie,First Kiss,Roy Poortmans,"Vajèn van den Bosch, Buddy Vedder, Leontine Borsato, Caroline de Bruijn, Stijn Fransen, Marije Zuurveld",Netherlands,2019-10-01,2018,TV-14,90 min,"Dramas, International Movies, Romantic Movies",2019.0
